area,density,crit. CV,crit. peak,TW,L,s,speed,circuity,cap,mrt,veh,veh-hrs,veh-km
2217.7,0.13753,0.63954,49,21,569,7,18,1.3284,9,1.5452,100,784.91,14128.38
6537.4,0.016826,0.81437,26,47,576,3,26,1.1494,9,2.3743,31,250.58,6515.08
1705.5,0.18469,0.49909,41,54,391,3,20,1.4597,5,1.5962,112,662.61,13252.2
5634,0.021477,0.33935,20,48,390,6,30,1.2725,8,2.6065,52,304.47,9134.1
1260.5,0.25862,0.39148,39,17,458,3,24,1.0486,5,2.1278,58,335.91,8061.84
4797.7,0.027305,0.17489,18,41,392,2,33,1.0792,7,2.6228,34,191.85,6331.05
882.64,0.38068,0.62981,52,15,447,3,12,1.341,5,2.7305,122,802.87,9634.44
4028.6,0.035,0.091558,18,18,395,5,25,1.3908,10,1.8725,91,504.43,12610.75
571.91,0.60499,0.72126,49,43,500,8,35,1.0317,6,2.3626,41,243.38,8518.3
3326.6,0.045693,0.19471,20,53,380,2,22,1.3123,10,2.1015,73,419.03,9218.66
328.34,1.0873,0.27285,45,44,387,6,13,1.3867,12,2.1335,83,485.41,6310.33
2691.7,0.060184,0.25154,21,31,410,6,19,1.242,10,2.6386,75,460.2,8743.8
7334.8,0.050035,0.31058,41,22,454,5,23,1.3885,9,2.1574,268,1994.8,45880.4
2124.1,0.080977,0.31943,25,36,483,3,39,1.2312,9,2.4776,27,163.18,6364.02
6375.9,0.059129,0.43727,54,32,521,2,11,1.0851,10,1.9728,336,3297.7,36274.7
1623.5,0.11272,0.34329,28,51,413,6,39,1.2308,8,2.0802,32,178.12,6946.68
5484.1,0.07075,0.41675,53,46,564,7,28,1.1331,9,2.5704,87,737.37,20646.36
1190.1,0.16217,0.27652,28,59,514,6,38,1.2455,11,2.3161,25,164.61,6255.18
4659.5,0.085418,0.45498,53,19,411,6,30,1.2315,10,2.2769,134,833.74,25012.2
823.91,0.24638,0.26974,31,42,513,3,29,1.417,7,2.2778,27,179.18,5196.22
3902,0.10456,0.5018,60,39,437,4,23,1.303,12,1.5019,161,1039.6,23910.8
524.84,0.40774,0.19836,27,58,510,2,21,1.4969,12,1.8209,32,209.12,4391.52
3211.6,0.13046,0.60622,69,50,446,7,15,1.4782,7,2.4868,315,2467,37005
292.92,0.76473,0.68892,28,51,444,6,12,1.1431,11,2.3719,39,257.2,3086.4
2588.4,0.16574,0.43898,69,28,592,6,20,1.0504,6,1.7126,92,737.81,14756.2
