area,density,crit. CV,crit. peak,TW,L,s,speed,circuity,cap,mrt,veh,veh-hrs,veh-km
2217.7,0.13753,0.63954,49,21,569,7,18,1.3284,9,1.5452,4.605170186,6.665569062,9.555940819
6537.4,0.016826,0.81437,26,47,576,3,26,1.1494,9,2.3743,3.433987204,5.523778231,8.781874769
1705.5,0.18469,0.49909,41,54,391,3,20,1.4597,5,1.5962,4.718498871,6.496186582,9.491918855
5634,0.021477,0.33935,20,48,390,6,30,1.2725,8,2.6065,3.951243719,5.71857256,9.119769942
1260.5,0.25862,0.39148,39,17,458,3,24,1.0486,5,2.1278,4.060443011,5.816843267,8.994897097
4797.7,0.027305,0.17489,18,41,392,2,33,1.0792,7,2.6228,3.526360525,5.256713817,8.753221378
882.64,0.38068,0.62981,52,15,447,3,12,1.341,5,2.7305,4.804021045,6.688192808,9.173099458
4028.6,0.035,0.091558,18,18,395,5,25,1.3908,10,1.8725,4.510859507,6.223429079,9.442304904
571.91,0.60499,0.72126,49,43,500,8,35,1.0317,6,2.3626,3.713572067,5.494624008,9.049972069
3326.6,0.045693,0.19471,20,53,380,2,22,1.3123,10,2.1015,4.290459441,6.037942516,9.12898497
328.34,1.0873,0.27285,45,44,387,6,13,1.3867,12,2.1335,4.418840608,6.184993895,8.749943252
2691.7,0.060184,0.25154,21,31,410,6,19,1.242,10,2.6386,4.317488114,6.131661178,9.076100157
7334.8,0.050035,0.31058,41,22,454,5,23,1.3885,9,2.1574,5.590986981,7.598299074,10.73379329
2124.1,0.080977,0.31943,25,36,483,3,39,1.2312,9,2.4776,3.295836866,5.094853886,8.758415532
6375.9,0.059129,0.43727,54,32,521,2,11,1.0851,10,1.9728,5.81711116,8.100980535,10.49887581
1623.5,0.11272,0.34329,28,51,413,6,39,1.2308,8,2.0802,3.465735903,5.18245748,8.846019127
5484.1,0.07075,0.41675,53,46,564,7,28,1.1331,9,2.5704,4.465908119,6.603089801,9.935294312
1190.1,0.16217,0.27652,28,59,514,6,38,1.2455,11,2.3161,3.218875825,5.10357904,8.741165199
4659.5,0.085418,0.45498,53,19,411,6,30,1.2315,10,2.2769,4.8978398,6.725921603,10.12711898
823.91,0.24638,0.26974,31,42,513,3,29,1.417,7,2.2778,3.295836866,5.188390887,8.555686717
3902,0.10456,0.5018,60,39,437,4,23,1.303,12,1.5019,5.081404365,6.946591303,10.08208552
524.84,0.40774,0.19836,27,58,510,2,21,1.4969,12,1.8209,3.465735903,5.34290825,8.387430688
3211.6,0.13046,0.60622,69,50,446,7,15,1.4782,7,2.4868,5.752572639,7.810758117,10.51880832
292.92,0.76473,0.68892,28,51,444,6,12,1.1431,11,2.3719,3.663561646,5.549853992,8.034760642
2588.4,0.16574,0.43898,69,28,592,6,20,1.0504,6,1.7126,4.521788577,6.603686339,9.599418612
7163.6,0.032665,0.37528,33,16,524,6,14,1.0272,5,2.8036,5.187385806,7.299864932,9.938922262
2032.4,0.216,0.68403,85,26,407,5,27,1.439,9,2.8705,4.762173935,6.572170648,9.868007514
6216.3,0.039412,0.58103,31,16,530,6,31,1.1035,8,1.6873,4.343805422,6.296796195,9.7307834
1543.5,0.29154,0.32126,61,57,489,5,13,1.1946,7,2.5366,4.905274778,6.941576827,9.506526185
5336.2,0.047787,0.36189,34,34,598,8,22,1.3807,8,2.1227,4.59511985,6.788250762,9.879293216
1121.8,0.41006,0.54515,84,21,361,5,13,1.2427,13,1.9317,5.407171771,7.114932037,9.679881394
4523.2,0.058587,0.32863,36,37,488,4,34,1.3649,6,2.7764,4.094344562,6.091490861,9.617851386
767.21,0.61261,0.57643,89,52,468,2,26,1.0191,12,2.4715,3.80666249,5.600309066,8.858405604
3777.4,0.073066,0.69561,37,51,525,2,31,1.0743,5,2.6345,3.713572067,5.71696191,9.150949114
479.79,1.0025,0.79565,110,54,564,2,21,1.1384,9,1.7679,3.871201011,5.735507214,8.780029652
3098.7,0.092297,0.66575,37,36,497,8,14,1.259,8,2.7374,5.176149733,7.243298513,9.882355842
259.52,1.892,0.54798,93,22,563,3,31,1.2077,4,1.6793,3.688879454,5.395670912,8.829658116
2487.2,0.11901,0.6608,40,52,373,5,30,1.4409,5,2.6226,4.465908119,6.206071767,9.607269149
6994.5,0.01444,0.77938,24,18,569,3,20,1.4526,8,1.9168,4.248495242,6.328704346,9.32443662
1942.8,0.15802,0.21008,36,40,424,4,15,1.4983,8,2.3422,5.105945474,7.013645654,9.721695855
6058.8,0.018485,0.58075,21,56,439,5,30,1.2345,4,2.3095,3.80666249,5.654101914,9.055299296
1465.5,0.2163,0.50877,42,58,455,7,40,1.2119,10,1.8174,3.850147602,5.697395454,9.386274908
5190.3,0.023505,0.38821,21,58,390,4,33,1.0968,9,1.5439,3.737669618,5.444363867,8.940871429
1055.5,0.30982,0.66401,46,19,451,3,35,1.2496,7,2.3817,3.761200116,5.53172803,9.087076092
4389,0.030075,0.16132,19,44,495,5,27,1.1025,10,2.7879,3.583518938,5.541969178,8.837806044
712.53,0.47436,0.46374,38,16,477,8,20,1.4153,12,1.8197,4.356708827,6.247365663,9.243097936
3654.8,0.039126,0.34922,26,32,367,7,34,1.2089,8,2.3882,3.891820298,5.581012022,9.107372547
436.76,0.79678,1.0254,77,25,384,3,11,1.1548,8,2.5885,4.442651256,6.188818384,8.586713657
2987.8,0.051208,0.31126,22,26,564,6,14,1.4193,5,2.1106,4.553876892,6.690307973,9.329365303
